iter	Passed	Remaining
0	0	98
1	1	79
2	2	72
3	2	66
4	3	65
5	4	62
6	4	61
7	5	60
8	5	59
9	6	60
10	7	63
11	9	66
12	9	65
13	10	63
14	10	62
15	11	60
16	12	59
17	12	58
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	46
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	30	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	52	13
80	53	12
81	54	11
82	54	11
83	55	10
84	56	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	64	1
97	65	1
98	66	0
99	67	0
